x;y;z;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
0;0;0;-0.089;0.049;-0.02;0;0;0;0;0;0;-0.27;-0.008;0.047;-0.006;0.002;-0.286;0;0;0;0;0.257;0;0.392;0.08;0.515;0.896;-0.086;0.132;-0.129;0;0.166;-0.145;-0.192;0.914;-0.101;0.166;0.259;0;0;0;-0.79;0.156;-0.239;0.735;0.04;-0.011;0.009;0;0;0.149;-0.155;-0.423;-0.073;0.046;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.086;0.048;-0.015;0;0;0;0;0;0;-0.278;-0.009;0.046;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.405;0.078;0.325;0.906;0.04;0.132;-0.087;0;0.177;-0.125;-0.215;0.921;-0.092;0.154;0.25;0;0;0;-0.793;0.156;-0.238;0.736;0.039;-0.011;0.009;0;0;0.15;-0.155;-0.433;-0.101;0.048;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.084;0.047;-0.01;0;0;0;0;0;0;-0.282;-0.01;0.047;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.418;0.089;0.178;0.911;0.134;0.132;-0.065;0;0.186;-0.112;-0.217;0.924;-0.094;0.147;0.239;0;0;0;-0.796;0.157;-0.227;0.737;0.038;-0.011;0.009;0;0;0.15;-0.155;-0.491;-0.06;0.035;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.082;0.046;-0.004;0;0;0;0;0;0;-0.287;-0.011;0.047;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.433;0.108;0.023;0.915;0.229;0.134;-0.056;0;0.196;-0.1;-0.201;0.926;-0.106;0.141;0.222;0;0;0;-0.798;0.159;-0.209;0.738;0.038;-0.011;0.009;0;0;0.15;-0.156;-0.635;0.052;0.009;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.08;0.045;0.001;0;0;0;0;0;0;-0.289;-0.013;0.047;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.446;0.13;-0.09;0.917;0.296;0.135;-0.06;0;0.206;-0.095;-0.172;0.926;-0.124;0.138;0.206;0;0;0;-0.799;0.162;-0.194;0.739;0.037;-0.011;0.009;0;0;0.149;-0.158;-0.767;0.109;0.003;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.08;0.044;0.005;0;0;0;0;0;0;-0.29;-0.014;0.045;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.455;0.179;-0.284;0.92;0.416;0.131;-0.036;0;0.215;-0.093;-0.135;0.926;-0.148;0.137;0.191;0;0;0;-0.799;0.165;-0.182;0.739;0.036;-0.012;0.009;0;0;0.147;-0.16;-0.88;0.113;0.012;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.08;0.044;0.005;0;0;0;0;0;0;-0.291;-0.014;0.045;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.455;0.209;-0.392;0.918;0.483;0.126;-0.014;0;0.218;-0.094;-0.124;0.925;-0.155;0.137;0.187;0;0;0;-0.799;0.166;-0.18;0.739;0.035;-0.012;0.009;0;0;0.147;-0.16;-0.915;0.108;0.016;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.079;0.043;0.007;0;0;0;0;0;0;-0.292;-0.014;0.04;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.431;0.416;-0.812;0.886;0.754;0.112;0.06;0;0.231;-0.102;-0.034;0.923;-0.178;0.137;0.173;0;0;0;-0.797;0.17;-0.067;0.739;0.012;-0.012;0.009;0;0;0.142;-0.161;-0.987;0.073;0.019;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.079;0.043;0.007;0;0;0;0;0;0;-0.292;-0.012;0.037;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.42;0.509;-0.919;0.873;0.813;0.12;0.052;0;0.237;-0.11;0.001;0.923;-0.18;0.137;0.168;0;0;0;-0.794;0.172;-0.004;0.738;-0.005;-0.012;0.009;0;0;0.138;-0.161;-0.941;0.116;0.014;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.08;0.044;0.006;0;0;0;0;0;0;-0.291;-0.008;0.033;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.407;0.626;-0.987;0.868;0.807;0.136;-0.009;0;0.245;-0.123;0.041;0.924;-0.201;0.139;0.168;0;0;0;-0.79;0.174;0.015;0.738;-0.024;-0.012;0.009;0;0;0.13;-0.158;-0.851;0.203;0.011;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
